Bus,Lat,Lon
20,41.88034561,-87.75994241
20,41.88158774,-87.66206861
20,41.88032564,-87.76130497
20,41.88024576,-87.77171195
20,41.88028171,-87.76966274
20,41.88177546,-87.65191376
20,41.88122828,-87.68430412
20,41.88031765,-87.7664119
20,41.88145195,-87.66910136
20,41.88180341,-87.64948368
20,41.88076898,-87.72547066
20,41.88169957,-87.65727282
20,41.88105255,-87.70107329
20,41.88096867,-87.70856738
20,41.88078096,-87.72310495
20,41.88091276,-87.7138406
20,41.88114042,-87.69252241
20,41.88165564,-87.65934885
20,41.88138405,-87.67425656
20,41.88213651,-87.62599826
20,41.88031765,-87.76797831
20,41.88112444,-87.69367576
20,41.88120033,-87.68678784
20,41.88140801,-87.67192304
20,41.88360785,-87.62465179
20,41.88454719,-87.62213588
20,41.88318131,-87.62746811
21,41.85197373,-87.68819332
21,41.84745433,-87.62200177
21,41.84567604,-87.62212515
21,41.84574798,-87.61789262
21,41.84570002,-87.62038708
21,41.85123051,-87.73792684
21,41.8512465,-87.74018526
21,41.85180192,-87.75683105
21,41.85023953,-87.80583501
21,41.85256511,-87.64989138
21,41.85121453,-87.74189651
21,41.8511426,-87.74703562
21,41.85112262,-87.74903119
21,41.85097877,-87.75908411
21,41.85084291,-87.7687186
21,41.85176995,-87.70289719
21,41.85284481,-87.63530552
21,41.85230139,-87.66651034
21,41.85078298,-87.77358413
21,41.85187784,-87.69559085
21,41.85273293,-87.63869047
21,41.85091084,-87.76382625
21,41.85165007,-87.71470964
21,41.85117857,-87.74405301
21,41.8527649,-87.62997866
21,41.85214555,-87.67556548
21,41.85055121,-87.78831482
21,41.85261706,-87.64675856
21,41.85159014,-87.7199775
21,41.85028349,-87.80342638
21,41.85168604,-87.71015525
21,41.85039138,-87.79860377
21,41.8521056,-87.67839789
21,41.85138635,-87.72713363
21,41.85174198,-87.70483375
21,41.85135039,-87.7297461
21,41.85123451,-87.73688614
21,41.85131043,-87.73242831
21,41.85127846,-87.73464382
21,41.85234934,-87.6636672
21,41.8510467,-87.75399327
21,41.85161411,-87.71750987
21,41.85208162,-87.68039882
21,41.85068707,-87.77853549
21,41.8523893,-87.66068995
21,41.85266101,-87.64202714
21,41.85182589,-87.69871295
21,41.85275691,-87.62362719
21,41.85253314,-87.6515168
21,41.85052724,-87.79303014
21,41.85204166,-87.68330634
21,41.85224944,-87.66860247
21,41.85280885,-87.62075722
21,41.8514303,-87.72487521
21,41.85246122,-87.65640914
21,41.85061515,-87.78346539
21,41.85051925,-87.79082537
21,41.85194576,-87.69018352
21,41.85171001,-87.70778418
21,41.85157016,-87.72208035
21,41.85168204,-87.71238148
21,41.85244124,-87.65820622
21,41.85264503,-87.64484346
21,41.85191779,-87.69266725
21,41.85274092,-87.63227463
21,41.85201369,-87.68583298
21,41.85031945,-87.80072808
21,41.85218152,-87.67351627
21,41.85221833,-87.67105
21,41.85272807,-87.62626159
21,41.84731047,-87.61773169
21,41.85111863,-87.61900842
21,41.84729448,-87.62348771
21,41.8459278,-87.62336969
21,41.85008769,-87.80837774
21,41.84806972,-87.80931115
21,41.85203367,-87.68803775
21,41.84745433,-87.62200177
21,41.85145668,-87.73897719
21,41.85180192,-87.75683105
21,41.85042734,-87.80555069
21,41.85141032,-87.74171412
21,41.85132641,-87.7466172
21,41.85129844,-87.74885952
